# module	compiled source file (relative to module root)	exact upstream copyright notice
github.com/NVIDIA/gpu-monitoring-tools	bindings/go/nvml/nvml.go	Copyright (c) 2015-2018, NVIDIA CORPORATION. All rights reserved.
github.com/NVIDIA/gpu-monitoring-tools	bindings/go/nvml/mig.go	Copyright (c) 2019, NVIDIA CORPORATION. All rights reserved.
github.com/NVIDIA/gpu-monitoring-tools	bindings/go/nvml/bindings.go	Copyright (c) 2020, NVIDIA CORPORATION.  All rights reserved.
github.com/NVIDIA/gpu-monitoring-tools	bindings/go/nvml/nvml.h	Copyright 1993-2020 NVIDIA Corporation.  All rights reserved.
github.com/go-logr/logr	logr.go	Copyright 2019 The logr Authors.
github.com/go-logr/logr	discard.go	Copyright 2020 The logr Authors.
github.com/go-logr/logr	context.go	Copyright 2023 The logr Authors.
google.golang.org/genproto/googleapis/rpc	status/status.pb.go	Copyright 2026 Google LLC
k8s.io/klog/v2	exit.go	Copyright 2013 Google Inc. All Rights Reserved.
k8s.io/klog/v2	internal/clock/clock.go	Copyright 2014 The Kubernetes Authors.
k8s.io/klog/v2	contextual.go	Copyright 2021 The Kubernetes Authors.
k8s.io/klog/v2	exit.go	Copyright 2022 The Kubernetes Authors.
k8s.io/klog/v2	format.go	Copyright 2023 The Kubernetes Authors.
k8s.io/kubelet	pkg/apis/deviceplugin/v1beta1/constants.go	Copyright 2018 The Kubernetes Authors.
k8s.io/kubelet	pkg/apis/deviceplugin/v1beta1/api.pb.go	Copyright The Kubernetes Authors.
